"Product Code","Product Name",Variant,Expected,Counted
S031,"Spong Quard TN 259- 5g",,0.0000,
S032,"W.melon / ឪឡឹក រូបឃ្លោក៊កណ្តាល",,-1.0000,
S033,"W.melon​តូច / ឪឡឹក រូបឃ្លោក",,-2.0000,
S034,"Cucumber  ត្រសក់​",,-2.0000,
S035,"Wax Ground ត្រឡាច​ NT9-20g/pack",,34.0000,
S036,"Chinese Cabbage- 20g ស្ពៃក្រញាញ់",,0.0000,
S037,"Chinese Kale TN28 100g ខាត់ណាដើម",,0.0000,
S038,"Chinese Kale TN28 200g ខាត់ណាដើម",,0.0000,
S039,"Chinese Mustard 100g - ស្ពៃខៀវ",,0.0000,
S040,"Choisum 100 /ស្ពៃចង្កឹះ",,-1.0000,
S041,"ឆៃថាវ​ ​រូប​ឃ្លោក​  ធំ​",,25.0000,
S042,"Eggplant 177 ត្រប់វែង ១៧៧",,0.0000,
S043,"ននោងជ្រុង Angleo Grourd Tn308- 10g",,24.0000,
S044,"Wax Ground ត្រឡាច​ NT9-50g/pack",,2.0000,
S047,"ននោងមូល Angleo Grourd - 10g",,-2.0000,
S048,"Mansion 120/ មេនសុិន  - 100g",,0.0000,
S050,"ត្រឡាច​  ថៃ Waxgaurd Thai 15mg",,2.0000,
S100,"Papaya Thai 2g ល្ហុងថៃ​2g",,3.0000,
S102,"Pumkin TN305 20g ល្ពៅ​TN 305",,-4.0000,
S103,"ត្រឡាច​ N61",,-5.0000,
Z001,"ឈុតថៃទ្រីតិច ៣ មុខ/",,22.0000,
